name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2025-01-01,92.8,75.2,83.3,104.9,75.2,88.9,74.7,77.1,0,0,0,rain,0,0,11.4,10.5,291.5,1009.5,39.6,5.9,158.5,13.7,6,30,2025-01-01T07:18:33,2025-01-01T19:15:07,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,WMKK,MYI0000WMSA"
Malaysia,2025-01-02,92.9,78.6,84.9,102.6,78.6,91.9,74.8,73.3,0,0,0,rain,0,0,11.9,8.6,309.9,1009,40.7,6.2,202,17.6,7,30,2025-01-02T07:19:00,2025-01-02T19:15:36,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-03,90.8,77.5,81,102.2,77.5,85.4,75.6,84.1,0.234,100,4.17,rain,0,0,16.1,8.3,211.3,1009.7,42.3,5.9,184.3,15.9,6,30,2025-01-03T07:19:27,2025-01-03T19:16:05,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-04,88,77,80.1,97.8,77,83.4,75.9,87.7,1.204,100,4.17,rain,0,0,16.1,5.7,248.7,1009.7,42.3,5.5,178.8,15.2,8,30,2025-01-04T07:19:52,2025-01-04T19:16:34,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-05,91.4,75.4,82,100.9,75.4,86.1,75,81,0.508,100,4.17,rain,0,0,14.1,7.5,302.3,1009.7,41.3,5.6,230.9,20.2,9,60,2025-01-05T07:20:18,2025-01-05T19:17:03,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-06,93.2,78.7,83.2,102.9,78.7,87.4,74.9,77.8,0.348,100,4.17,rain,0,0,19.5,6.6,286.8,1009.7,41,6,219.8,19.1,8,30,2025-01-06T07:20:43,2025-01-06T19:17:31,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-07,90.3,76.8,80.8,101.5,76.8,84.4,75.5,84.6,0.398,100,8.33,rain,0,0,16.6,7.6,255.1,1010.6,42.7,6,144,12.5,6,10,2025-01-07T07:21:07,2025-01-07T19:17:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-08,92.8,77.1,82.7,104.7,77.1,87.8,75.5,80.1,0.371,100,4.17,rain,0,0,13.6,9.6,269.3,1010,40.9,6.2,224.3,19.2,8,60,2025-01-08T07:21:31,2025-01-08T19:18:26,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-09,94.6,77.2,84,102.3,77.2,88.7,74.1,74.6,0,0,0,rain,0,0,14.3,8.4,286.2,1010.7,40.5,6,250.6,21.7,9,30,2025-01-09T07:21:54,2025-01-09T19:18:53,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-10,87.5,76.6,80.3,94.4,76.6,83.5,73.7,81,0,0,0,rain,0,0,16.6,6.2,5.9,1011.8,40,6,128.1,11.1,6,10,2025-01-10T07:22:16,2025-01-10T19:19:19,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-11,83.8,74.9,78.2,89.1,74.9,79.7,72.2,82.5,0.242,100,8.33,rain,0,0,22.4,6.2,324.5,1012.5,41.4,5.9,104.9,9,5,10,2025-01-11T07:22:38,2025-01-11T19:19:45,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-12,86,76.8,80.6,91.8,76.8,83,72.1,76.3,0.003,100,4.17,rain,0,0,29.8,9,15.5,1011,40.8,6.2,90.5,7.8,4,10,2025-01-12T07:22:59,2025-01-12T19:20:11,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-13,89.6,78.5,83,96.2,78.5,86.1,71.3,68.8,0,0,0,rain,0,0,19.7,5.9,355.3,1010.1,40.7,6.2,126.4,10.9,5,10,2025-01-13T07:23:19,2025-01-13T19:20:36,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-14,91.2,75.3,81.7,98.6,75.3,85.6,73.8,78.3,0,0,0,rain,0,0,20.4,10.7,248.5,1010.4,44,5.8,198.4,17,8,30,2025-01-14T07:23:39,2025-01-14T19:21:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-15,89.2,75.2,80.1,99.2,75.2,83.3,74.8,85,2.054,100,4.17,rain,0,0,16.3,11.7,257.3,1010.4,43,5.6,206.4,17.8,8,30,2025-01-15T07:23:58,2025-01-15T19:21:25,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-16,88,75.2,80.3,101.9,75.2,84.8,75.8,87,0.864,100,8.33,rain,0,0,21.9,10.7,334.3,1010.1,43.5,5.7,171.2,14.7,6,30,2025-01-16T07:24:16,2025-01-16T19:21:48,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-17,88,75,81,95.8,75,83.8,72.5,76.3,0.021,100,4.17,rain,0,0,25.9,6.8,82.3,1009.7,40.7,6.1,187.3,16.1,8,10,2025-01-17T07:24:34,2025-01-17T19:22:11,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-18,86,77,80.5,95.3,77,83.6,74.8,83.4,0.139,100,4.17,rain,0,0,19.2,9,304.9,1009.6,42.5,6.1,148.1,12.8,6,30,2025-01-18T07:24:50,2025-01-18T19:22:33,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-19,87.8,76.7,80.8,95.4,76.7,84.9,75.2,84.4,0.037,100,4.17,rain,0,0,18.8,5.5,298.4,1009,42.5,6.1,148.8,12.8,5,30,2025-01-19T07:25:06,2025-01-19T19:22:54,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-20,91.1,76.9,82.3,98.6,76.9,86.6,74.4,78.6,0.002,100,4.17,rain,0,0,15,7.4,281,1008.5,39.9,5.9,172.5,14.7,7,10,2025-01-20T07:25:21,2025-01-20T19:23:15,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-21,89.6,77,82.1,96.4,77,86,74.1,78.3,0,0,0,rain,0,0,11.2,6.3,244.4,1008.8,40.2,6.1,192,16.5,8,10,2025-01-21T07:25:35,2025-01-21T19:23:35,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-22,89.8,77,82.7,98.5,77,87.7,74.9,78.5,0,0,0,rain,0,0,13.9,7.7,300.9,1009.2,40.1,5.8,194.5,16.8,8,30,2025-01-22T07:25:49,2025-01-22T19:23:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-23,91.1,76.9,83.1,101.8,76.9,89,74.7,76.8,0.067,100,20.83,rain,0,0,16.8,8.6,233.8,1009.1,33.9,6,208.9,18,8,60,2025-01-23T07:26:01,2025-01-23T19:24:14,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-24,87.9,75.4,81.3,97.8,75.4,86.9,75.7,83.7,0,0,0,rain,0,0,20.8,9.4,312.3,1008.8,40.4,5.4,144.7,12.5,6,30,2025-01-24T07:26:13,2025-01-24T19:24:32,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-25,89.5,75.7,81.1,98.4,75.7,85.6,75.3,83.7,2.605,100,4.17,rain,0,0,14.8,7.5,263.2,1008.8,41.5,6.2,190.4,16.3,7,60,2025-01-25T07:26:24,2025-01-25T19:24:49,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-26,86.3,76.8,80.5,95.6,76.8,84.5,75.2,84.4,0.194,100,8.33,rain,0,0,14.8,7.5,341.9,1009.1,41.9,5.7,154.3,13.4,6,30,2025-01-26T07:26:34,2025-01-26T19:25:06,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-27,91,75.2,80.5,101.4,75.2,83.2,75,84.3,0,0,0,rain,0,0,15.2,10.6,274.8,1008.5,41.1,6.1,165.2,14.3,7,30,2025-01-27T07:26:43,2025-01-27T19:25:22,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-28,82.2,75.2,77.9,88,75.2,78.9,72.6,84,0.187,100,16.67,rain,0,0,21.7,5.7,136.9,1011.5,41.6,5.9,120.7,10.3,6,10,2025-01-28T07:26:51,2025-01-28T19:25:37,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-01-29,89.5,75.2,81.4,94.8,75.2,83.8,70.4,70.5,0,0,0,rain,0,0,19.9,8.6,67.2,1011.7,40.1,6,207.8,17.8,8,10,2025-01-29T07:26:58,2025-01-29T19:25:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
